IUCN_Family,Genus,Species
THEACEAE,Pyrenaria,poilaneana
THEACEAE,Pyrenaria,serrata
THEACEAE,Pyrenaria,sophiae
THEACEAE,Pyrenaria,spectabilis
THEACEAE,Pyrenaria,tawauensis
THEACEAE,Pyrenaria,villosula
THEACEAE,Pyrenaria,viridifolia
THEACEAE,Pyrenaria,wrayi
THEACEAE,Pyrenaria,wuana
THEACEAE,Schima,argentea
THEACEAE,Schima,crenata
THEACEAE,Schima,khasiana
THEACEAE,Schima,noronhae
THEACEAE,Schima,parviflora
THEACEAE,Schima,remotiserrata
THEACEAE,Schima,sinensis
THEACEAE,Schima,superba
THEACEAE,Schima,wallichii
THEACEAE,Stewartia,calcicola
THEACEAE,Stewartia,cordifolia
THEACEAE,Stewartia,crassifolia
THEACEAE,Stewartia,densivillosa
THEACEAE,Stewartia,laotica
THEACEAE,Stewartia,medogensis
THEACEAE,Stewartia,micrantha
THEACEAE,Stewartia,monadelpha
THEACEAE,Stewartia,obovata
THEACEAE,Stewartia,pseudocamellia
THEACEAE,Stewartia,pteropetiolata
THEACEAE,Stewartia,rostrata
THEACEAE,Stewartia,rubiginosa
THEACEAE,Stewartia,serrata
THEACEAE,Stewartia,sichuanensis
THEACEAE,Stewartia,sinensis
THEACEAE,Stewartia,sinii
THEACEAE,Stewartia,tonkinensis
THEACEAE,Stewartia,villosa
